part,quantity,
114-00841-68-1-ND,0,CONN MICRO SD CARD PUSH-PULL R/A
122-1747-ND,4,
1276-1075-1-ND,85,10 uF cap
1276-5272-1-ND,20,1k res
160-1167-1-ND,30,red LED
160-1169-1-ND,45,green LED
160-1170-1-ND,4,Yellow LED
311-1.00MCRCT-ND,20,1M res
311-10.0KCRCT-ND,15,10k res
311-100CRCT-ND,70,100 res
311-100KCRCT-ND,40,100k res
311-1364-1-ND,30,47 nF cap
311-2.20KCRCT-ND,81,2.2k res
399-1170-1-ND,300,100 nF
445-7625-1-ND,120,1 uF cap
486-1688-1-ND,25,15A fuse
490-1664-1-ND,110,10 nF
497-7575-1-ND,34,DIODE ULT FAST 400V 10A D2PACK
497-5352-1-ND,5,IC DRIVER 3PHASE MOTOR 10PWRSOIC
497-10613-1-ND,3,ACCELEROMETER 3AXIS MEMS
497-11907-ND,3,STM32F412RGT6
497-7306-1-ND,5,3.3V/950MA REG
1727-3567-1-ND,4,DIODE SHOTTKY 30V/200MA SOT323
1727-4692-1-ND,10,MOSFET N-CH SGL 60V SOT-23
1727-6331-1-ND,12,Hex Level shifter
576-1319-1-ND,13,IC OP AMP R-R IN/OUT SOT23-5
576-1818-5-ND,11,IC DRIVER MOSF LO SIDE 
587-1292-1-ND,10,2.2 uF cap
587-1782-1-ND,15,4.7 uF cap
609-3321-ND,1,8 position header
785-1317-1-ND,28,2NCH 40V 8A MOSFET
811-2196-5-ND,8,CONV DC/DC 7.5W 36VIN/5VOUT
828-1042-1-ND,3,GYROSCOPE 3-AXIS SPI/I2C
952-1366-5-ND,0,CONN RCPT 1.27MM T/H AU 12POS
620-1276-1-ND,18,IC SWITCH UNIPOLAR 3V SOT23W
952-1507-ND,30,HEX STANDOFF M3 BRASS 16MM
A27AW-ND,9,SWITCH TOGGLE SP3T 0.4VA 28V
BC846A-7-FDICT-ND,12,TRANS BIPO NPN 300MW SOT23-3
CT1936MS-ND,2,SWITCH PIANO DIP SPST 50MA 24V
ED2980-ND,2,CONN USB TYPE B VERTICAL WHITE
F1460CT-ND,0,FUSE BOARD MNT 5A 32VAC/VDC 1206
H10806-ND,1,"60 Position Connector Receptacle, Center Strip Contacts Surface Mount Gold"
HFB111CT-ND,20,CONN FPC/FFC 11POS 1MM
IRF9310TRPBFCT-ND,3,MOSFET P-CH 30V 20A
LM5107MAX/NOPBCT-ND,17,IC DVR HALF-BRIDGE HV
LP2951CMXFSCT-ND,8,IC REG LDO ADJ 0.1 A
MCP1726-1202E/SN-ND,17,"IC LDO REG 1A 1,2V 8SOIC"
MRF24J40MB-I/RM-ND,0,2.4 GHZ MICROCHIP RF TRANSCEIVER DONGLE
NSR0240HT1GOSCT-ND,4,Diode Schottky 40V 250mA (DC) Surface Mount SOD-323
P5182-ND,4,"100µF 50V Aluminum Capacitors Radial, Can 2000 Hrs @ 85°C"
MRF24J40MD-I/RM-ND,0,Main Board MICROCHIP RF TRANSCEIVER
RMCF0805FT6K04CT-ND,5,RES SMD 6.04K OHM 1% 1/8W 0805
S1012E-36-ND,0,CONN HEADER .100 SINGL STR 36POS
SMAJ24CABCT-ND,0,TVS DIODE 24VWM 38.9VC DO214AC
SOMC10KCCT-ND,0,RES ARRAY 10K 7 RES 
XC287CT-ND,0,OSC 8 MHZ 3.3V
RURG3060CC-ND,16,DIODE ARRAY GP 600V 30A TO247
FGA180N33ATDTU-ND,12,IGBT
497-12940-1-ND,6,MOSFET N CH 650V 35A D2PAK
S7074-ND,0,"CONN HEADER FMAL 12PS .1"" DL TIN"
311-160CRCT-ND,0,RES SMD 160 OHM 1% 1/8W 0805
WM4300-ND,0,CONN HEADER 2POS .100 R/A TIN
565-2754-ND,35,CAP ALUM 1000UF 20% 250V SNAP
FLUX,52,
CHIPQUICK,53,
SPOOL WHITE 18AWG,54,
